"112年10月13日 外資及陸資買賣超彙總表"
"",,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ",="00631L","元大台灣50正2   ","328,000","127,000","201,000","0","0","0","328,000","127,000","201,000",
" ","9105  ","泰金寶-DR       ","200,000","0","200,000","0","0","0","200,000","0","200,000",
" ","3592  ","瑞鼎            ","319,000","120,000","199,000","0","0","0","319,000","120,000","199,000",
" ","8112  ","至上            ","1,512,000","1,320,300","191,700","0","0","0","1,512,000","1,320,300","191,700",
" ","3015  ","全漢            ","201,000","12,000","189,000","0","0","0","201,000","12,000","189,000",
" ","4763  ","材料-KY         ","1,431,000","1,242,076","188,924","0","0","0","1,431,000","1,242,076","188,924",
" ","2375  ","凱美            ","246,000","61,000","185,000","0","0","0","246,000","61,000","185,000",
" ","2484  ","希華            ","195,000","10,000","185,000","0","0","0","195,000","10,000","185,000",
" ","2405  ","輔信            ","1,304,000","1,127,000","177,000","0","0","0","1,304,000","1,127,000","177,000",
" ","2537  ","聯上發          ","275,000","99,000","176,000","0","0","0","275,000","99,000","176,000",
" ","2351  ","順德            ","458,000","283,000","175,000","0","0","0","458,000","283,000","175,000",
" ",="060845","長榮航統一4B購02","369,000","198,000","171,000","0","0","0","369,000","198,000","171,000",
" ","2365  ","昆盈            ","692,000","523,000","169,000","0","0","0","692,000","523,000","169,000",
" ",="00681R","元大美債20反1   ","167,000","0","167,000","0","0","0","167,000","0","167,000",
" ","2390  ","云辰            ","292,000","125,360","166,640","0","0","0","292,000","125,360","166,640",
" ","5471  ","松翰            ","242,000","76,000","166,000","0","0","0","242,000","76,000","166,000",
" ","2495  ","普安            ","319,000","154,000","165,000","0","0","0","319,000","154,000","165,000",
" ","3413  ","京鼎            ","194,000","29,000","165,000","0","0","0","194,000","29,000","165,000",
" ",="00689R","國泰20年美債反1 ","168,000","4,000","164,000","0","0","0","168,000","4,000","164,000",
" ","3694  ","海華            ","981,000","821,000","160,000","0","0","0","981,000","821,000","160,000",
" ","5531  ","鄉林            ","231,000","71,000","160,000","0","0","0","231,000","71,000","160,000",
" ","9943  ","好樂迪          ","247,000","89,000","158,000","0","0","0","247,000","89,000","158,000",
" ","9941  ","裕融            ","237,000","80,000","157,000","0","0","0","237,000","80,000","157,000",
" ",="048769","緯穎元富52購01  ","234,000","78,000","156,000","0","0","0","234,000","78,000","156,000",
" ",="059373","世芯元大48購02  ","156,000","0","156,000","0","0","0","156,000","0","156,000",
" ",="060069","元日2X國票4C購01","156,000","0","156,000","0","0","0","156,000","0","156,000",
" ","2516  ","新建            ","443,000","287,000","156,000","0","0","0","443,000","287,000","156,000",
" ",="052269","為升元富46購01  ","170,000","17,000","153,000","0","0","0","170,000","17,000","153,000",
" ","2034  ","允強            ","182,000","33,000","149,000","0","0","0","182,000","33,000","149,000",
" ","3047  ","訊舟            ","172,000","23,000","149,000","0","0","0","172,000","23,000","149,000",
" ","5215  ","科嘉-KY         ","1,097,000","948,000","149,000","0","0","0","1,097,000","948,000","149,000",
" ","3056  ","富華新          ","592,000","445,000","147,000","0","0","0","592,000","445,000","147,000",
" ","2481  ","強茂            ","279,000","133,000","146,000","0","0","0","279,000","133,000","146,000",
" ","2387  ","精元            ","344,000","199,000","145,000","0","0","0","344,000","199,000","145,000",
" ","1409  ","新纖            ","218,000","74,000","144,000","0","0","0","218,000","74,000","144,000",
" ","9924  ","福興            ","160,000","16,000","144,000","0","0","0","160,000","16,000","144,000",
" ",="052566","京城銀凱基44購01","141,000","0","141,000","0","0","0","141,000","0","141,000",
" ",="00904 ","新光臺灣半導體30","166,000","26,000","140,000","0","0","0","166,000","26,000","140,000",
" ",="060061","緯創凱基48購03  ","140,000","0","140,000","0","0","0","140,000","0","140,000",
" ","8213  ","志超            ","407,000","267,000","140,000","0","0","0","407,000","267,000","140,000",
" ","6438  ","迅得            ","438,000","299,000","139,000","0","0","0","438,000","299,000","139,000",
" ",="058528","金寶元大49購03  ","286,000","149,000","137,000","0","0","0","286,000","149,000","137,000",
" ",="00706L","期元大S&P日圓正2","136,000","0","136,000","0","0","0","136,000","0","136,000",
" ",="059376","康舒元大45購02  ","301,000","165,000","136,000","0","0","0","301,000","165,000","136,000",
" ","2611  ","志信            ","280,050","145,000","135,050","0","0","0","280,050","145,000","135,050",
" ","2530  ","華建            ","519,000","385,000","134,000","0","0","0","519,000","385,000","134,000",
" ","2536  ","宏普            ","163,000","31,000","132,000","0","0","0","163,000","31,000","132,000",
" ","3090  ","日電貿          ","178,208","47,000","131,208","0","0","0","178,208","47,000","131,208",
" ","3010  ","華立            ","155,000","24,000","131,000","0","0","0","155,000","24,000","131,000",
" ","3062  ","建漢            ","1,722,000","1,591,000","131,000","0","0","0","1,722,000","1,591,000","131,000",
" ","8105  ","凌巨            ","238,000","107,000","131,000","0","0","0","238,000","107,000","131,000",
