"112年10月13日 外資及陸資買賣超彙總表"
"",,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","2412  ","中華電          ","1,861,568","2,954,284","-1,092,716","0","0","0","1,861,568","2,954,284","-1,092,716",
" ","1524  ","耿鼎            ","1,825,000","2,911,000","-1,086,000","0","0","0","1,825,000","2,911,000","-1,086,000",
" ","6005  ","群益證          ","417,000","1,500,000","-1,083,000","0","0","0","417,000","1,500,000","-1,083,000",
" ","5876  ","上海商銀        ","1,834,420","2,890,222","-1,055,802","0","0","0","1,834,420","2,890,222","-1,055,802",
" ","3576  ","聯合再生        ","622,625","1,675,800","-1,053,175","0","0","0","622,625","1,675,800","-1,053,175",
" ",="00633L","富邦上証正2     ","57,000","1,108,000","-1,051,000","0","0","0","57,000","1,108,000","-1,051,000",
" ","1301  ","台塑            ","2,739,380","3,706,058","-966,678","0","0","0","2,739,380","3,706,058","-966,678",
" ","2462  ","良得電          ","305,000","1,270,000","-965,000","0","0","0","305,000","1,270,000","-965,000",
" ","1603  ","華電            ","1,316,000","2,272,000","-956,000","0","0","0","1,316,000","2,272,000","-956,000",
" ","1216  ","統一            ","3,860,154","4,809,759","-949,605","0","0","0","3,860,154","4,809,759","-949,605",
" ","9958  ","世紀鋼          ","391,000","1,293,000","-902,000","0","0","0","391,000","1,293,000","-902,000",
" ","9945  ","潤泰新          ","374,717","1,266,426","-891,709","0","0","0","374,717","1,266,426","-891,709",
" ","2312  ","金寶            ","629,000","1,519,000","-890,000","0","0","0","629,000","1,519,000","-890,000",
" ","3032  ","偉訓            ","1,430,000","2,310,000","-880,000","0","0","0","1,430,000","2,310,000","-880,000",
" ","2645  ","長榮航太        ","182,000","1,041,741","-859,741","0","0","0","182,000","1,041,741","-859,741",
" ",="052266","台化元富49購01  ","2,000","855,000","-853,000","0","0","0","2,000","855,000","-853,000",
" ",="00897 ","富邦基因免疫生技","22,000","874,000","-852,000","0","0","0","22,000","874,000","-852,000",
" ","3583  ","辛耘            ","115,000","966,000","-851,000","0","0","0","115,000","966,000","-851,000",
" ",="00920 ","富邦ESG綠色電力 ","0","847,000","-847,000","0","0","0","0","847,000","-847,000",
" ","1795  ","美時            ","443,000","1,284,000","-841,000","0","0","0","443,000","1,284,000","-841,000",
" ","2340  ","台亞            ","403,000","1,223,000","-820,000","0","0","0","403,000","1,223,000","-820,000",
" ","2421  ","建準            ","1,490,000","2,258,000","-768,000","0","0","0","1,490,000","2,258,000","-768,000",
" ","2609  ","陽明            ","3,351,950","4,117,029","-765,079","0","0","0","3,351,950","4,117,029","-765,079",
" ","3005  ","神基            ","763,529","1,519,000","-755,471","0","0","0","763,529","1,519,000","-755,471",
" ","6112  ","邁達特          ","1,389,000","2,123,000","-734,000","0","0","0","1,389,000","2,123,000","-734,000",
" ",="045519","智易群益43購01  ","0","733,000","-733,000","0","0","0","0","733,000","-733,000",
" ","2886  ","兆豐金          ","5,242,870","5,971,536","-728,666","0","0","0","5,242,870","5,971,536","-728,666",
" ","2368  ","金像電          ","2,595,002","3,316,000","-720,998","0","0","0","2,595,002","3,316,000","-720,998",
" ","1907  ","永豐餘          ","1,037,000","1,753,000","-716,000","0","0","0","1,037,000","1,753,000","-716,000",
" ","6443  ","元晶            ","511,000","1,213,600","-702,600","0","0","0","511,000","1,213,600","-702,600",
" ","1736  ","喬山            ","70,074","764,000","-693,926","0","0","0","70,074","764,000","-693,926",
" ","2801  ","彰銀            ","1,652,110","2,338,230","-686,120","0","0","0","1,652,110","2,338,230","-686,120",
" ","2208  ","台船            ","274,000","949,000","-675,000","0","0","0","274,000","949,000","-675,000",
" ","4938  ","和碩            ","2,205,170","2,850,142","-644,972","0","0","0","2,205,170","2,850,142","-644,972",
" ","1515  ","力山            ","120,000","759,000","-639,000","0","0","0","120,000","759,000","-639,000",
" ","4904  ","遠傳            ","1,222,192","1,849,862","-627,670","0","0","0","1,222,192","1,849,862","-627,670",
" ","3013  ","晟銘電          ","1,283,100","1,910,000","-626,900","0","0","0","1,283,100","1,910,000","-626,900",
" ","3045  ","台灣大          ","1,859,500","2,483,450","-623,950","0","0","0","1,859,500","2,483,450","-623,950",
" ","2731  ","雄獅            ","398,000","1,017,000","-619,000","0","0","0","398,000","1,017,000","-619,000",
" ",="00902 ","中信電池及儲能  ","27,000","642,000","-615,000","0","0","0","27,000","642,000","-615,000",
" ","6120  ","達運            ","465,000","1,077,000","-612,000","0","0","0","465,000","1,077,000","-612,000",
" ","2492  ","華新科          ","1,286,000","1,897,000","-611,000","0","0","0","1,286,000","1,897,000","-611,000",
" ","1218  ","泰山            ","25,050","632,000","-606,950","0","0","0","25,050","632,000","-606,950",
" ","2345  ","智邦            ","1,691,503","2,279,969","-588,466","0","0","0","1,691,503","2,279,969","-588,466",
" ","1904  ","正隆            ","537,000","1,112,000","-575,000","0","0","0","537,000","1,112,000","-575,000",
" ","3704  ","合勤控          ","626,000","1,186,000","-560,000","0","0","0","626,000","1,186,000","-560,000",
" ","6285  ","啟碁            ","3,017,342","3,571,199","-553,857","0","0","0","3,017,342","3,571,199","-553,857",
" ",="00650L","復華香港正2     ","161,000","710,000","-549,000","0","0","0","161,000","710,000","-549,000",
" ","3443  ","創意            ","1,206,778","1,750,261","-543,483","0","0","0","1,206,778","1,750,261","-543,483",
" ","1210  ","大成            ","145,000","685,000","-540,000","0","0","0","145,000","685,000","-540,000",
" ","3059  ","華晶科          ","1,042,000","1,578,000","-536,000","0","0","0","1,042,000","1,578,000","-536,000",
" ","8478  ","東哥遊艇        ","841,000","1,375,030","-534,030","0","0","0","841,000","1,375,030","-534,030",
" ","1305  ","華夏            ","115,000","646,000","-531,000","0","0","0","115,000","646,000","-531,000",
" ","2605  ","新興            ","1,319,000","1,837,000","-518,000","0","0","0","1,319,000","1,837,000","-518,000",
" ","9907  ","統一實          ","353,696","870,000","-516,304","0","0","0","353,696","870,000","-516,304",
" ","1802  ","台玻            ","748,000","1,250,000","-502,000","0","0","0","748,000","1,250,000","-502,000",
" ","2603  ","長榮            ","3,713,180","4,213,526","-500,346","0","0","0","3,713,180","4,213,526","-500,346",
"*","1342  ","八貫            ","321,000","820,000","-499,000","0","0","0","321,000","820,000","-499,000",
" ","3308  ","聯德            ","137,000","628,000","-491,000","0","0","0","137,000","628,000","-491,000",
" ",="058525","中砂元大45購06  ","0","486,000","-486,000","0","0","0","0","486,000","-486,000",
" ","2486  ","一詮            ","2,874,000","3,344,000","-470,000","0","0","0","2,874,000","3,344,000","-470,000",
" ","9910  ","豐泰            ","805,489","1,273,495","-468,006","0","0","0","805,489","1,273,495","-468,006",
" ","2395  ","研華            ","320,617","771,996","-451,379","0","0","0","320,617","771,996","-451,379",
" ","2812  ","台中銀          ","309,000","758,000","-449,000","0","0","0","309,000","758,000","-449,000",
" ","1568  ","倉佑            ","1,270,000","1,717,000","-447,000","0","0","0","1,270,000","1,717,000","-447,000",
" ","4906  ","正文            ","846,000","1,285,000","-439,000","0","0","0","846,000","1,285,000","-439,000",
" ","2636  ","台驊控股        ","109,000","547,000","-438,000","0","0","0","109,000","547,000","-438,000",
" ",="00655L","國泰中國A50正2  ","3,000","432,000","-429,000","0","0","0","3,000","432,000","-429,000",
" ","1326  ","台化            ","1,957,040","2,380,188","-423,148","0","0","0","1,957,040","2,380,188","-423,148",
" ",="056079","緯穎群益44購06  ","0","419,000","-419,000","0","0","0","0","419,000","-419,000",
" ","2606  ","裕民            ","1,050,000","1,466,102","-416,102","0","0","0","1,050,000","1,466,102","-416,102",
" ","2383  ","台光電          ","2,696,896","3,109,964","-413,068","0","0","0","2,696,896","3,109,964","-413,068",
" ","2912  ","統一超          ","285,167","694,072","-408,905","0","0","0","285,167","694,072","-408,905",
"*","2327  ","國巨            ","428,591","833,643","-405,052","0","0","0","428,591","833,643","-405,052",
" ","2468  ","華經            ","272,000","650,000","-378,000","0","0","0","272,000","650,000","-378,000",
" ","3033  ","威健            ","181,000","559,000","-378,000","0","0","0","181,000","559,000","-378,000",
" ","1720  ","生達            ","83,000","459,000","-376,000","0","0","0","83,000","459,000","-376,000",
" ","2816  ","旺旺保          ","232,000","601,000","-369,000","0","0","0","232,000","601,000","-369,000",
" ","2385  ","群光            ","1,465,425","1,833,000","-367,575","0","0","0","1,465,425","1,833,000","-367,575",
" ","2436  ","偉詮電          ","342,000","705,000","-363,000","0","0","0","342,000","705,000","-363,000",
" ","9919  ","康那香          ","93,000","454,000","-361,000","0","0","0","93,000","454,000","-361,000",
" ",="055244","世芯凱基47購03  ","166,000","525,000","-359,000","0","0","0","166,000","525,000","-359,000",
" ","6451  ","訊芯-KY         ","1,181,000","1,523,000","-342,000","0","0","0","1,181,000","1,523,000","-342,000",
" ",="055247","瑞儀凱基44購02  ","150,000","485,000","-335,000","0","0","0","150,000","485,000","-335,000",
" ","1229  ","聯華            ","190,000","523,000","-333,000","0","0","0","190,000","523,000","-333,000",
" ","5388  ","中磊            ","908,000","1,238,000","-330,000","0","0","0","908,000","1,238,000","-330,000",
" ","9921  ","巨大            ","483,260","808,830","-325,570","0","0","0","483,260","808,830","-325,570",
" ","8261  ","富鼎            ","271,000","577,000","-306,000","0","0","0","271,000","577,000","-306,000",
" ","2851  ","中再保          ","24,000","329,000","-305,000","0","0","0","24,000","329,000","-305,000",
" ",="060688","智邦永豐46購02  ","0","304,000","-304,000","0","0","0","0","304,000","-304,000",
" ","6550  ","北極星藥業-KY   ","274,000","578,000","-304,000","0","0","0","274,000","578,000","-304,000",
" ","1434  ","福懋            ","189,000","492,000","-303,000","0","0","0","189,000","492,000","-303,000",
" ",="00673R","期元大S&P原油反1","312,000","614,000","-302,000","0","0","0","312,000","614,000","-302,000",
" ",="051707","乙盛永豐43購01  ","0","300,000","-300,000","0","0","0","0","300,000","-300,000",
" ",="065320","台積電統一32購01","0","300,000","-300,000","0","0","0","0","300,000","-300,000",
" ","2419  ","仲琦            ","183,000","481,500","-298,500","0","0","0","183,000","481,500","-298,500",
" ","1717  ","長興            ","372,720","666,000","-293,280","0","0","0","372,720","666,000","-293,280",
" ",="00919 ","群益台灣精選高息","753,157","1,037,000","-283,843","0","0","0","753,157","1,037,000","-283,843",
"*","5871  ","中租-KY         ","2,375,326","2,658,454","-283,128","0","0","0","2,375,326","2,658,454","-283,128",
" ","1808  ","潤隆            ","141,000","424,000","-283,000","0","0","0","141,000","424,000","-283,000",
" ","2707  ","晶華            ","126,000","404,000","-278,000","0","0","0","126,000","404,000","-278,000",
" ","4934  ","太極            ","159,000","434,500","-275,500","0","0","0","159,000","434,500","-275,500",
" ","3027  ","盛達            ","61,000","336,000","-275,000","0","0","0","61,000","336,000","-275,000",
" ",="058527","聯電元大49購02  ","0","272,000","-272,000","0","0","0","0","272,000","-272,000",
" ",="045523","亞翔群益42購02  ","46,000","315,000","-269,000","0","0","0","46,000","315,000","-269,000",
" ",="058429","日電貿統一55購01","51,000","318,000","-267,000","0","0","0","51,000","318,000","-267,000",
" ","1710  ","東聯            ","295,000","560,000","-265,000","0","0","0","295,000","560,000","-265,000",
" ","2204  ","中華            ","2,666,000","2,930,000","-264,000","0","0","0","2,666,000","2,930,000","-264,000",
" ","6414  ","樺漢            ","38,000","300,000","-262,000","0","0","0","38,000","300,000","-262,000",
" ","6216  ","居易            ","595,000","856,000","-261,000","0","0","0","595,000","856,000","-261,000",
" ","2723  ","美食-KY         ","78,000","334,000","-256,000","0","0","0","78,000","334,000","-256,000",
" ","1752  ","南光            ","7,000","258,000","-251,000","0","0","0","7,000","258,000","-251,000",
" ","5258  ","虹堡            ","1,005,000","1,256,000","-251,000","0","0","0","1,005,000","1,256,000","-251,000",
" ",="055243","群創凱基44購02  ","100,000","350,000","-250,000","0","0","0","100,000","350,000","-250,000",
" ","1316  ","上曜            ","160,109","409,000","-248,891","0","0","0","160,109","409,000","-248,891",
" ",="00922 ","國泰台灣領袖50  ","630","248,000","-247,370","0","0","0","630","248,000","-247,370",
" ","3701  ","大眾控          ","369,000","615,000","-246,000","0","0","0","369,000","615,000","-246,000",
" ",="052276","晶相光元富49購01","403,000","647,000","-244,000","0","0","0","403,000","647,000","-244,000",
" ","3051  ","力特            ","497,000","741,000","-244,000","0","0","0","497,000","741,000","-244,000",
" ","1104  ","環泥            ","140,000","380,000","-240,000","0","0","0","140,000","380,000","-240,000",
" ","6669  ","緯穎            ","666,196","905,468","-239,272","0","0","0","666,196","905,468","-239,272",
" ","1304  ","台聚            ","283,000","518,244","-235,244","0","0","0","283,000","518,244","-235,244",
" ","2010  ","春源            ","54,000","286,000","-232,000","0","0","0","54,000","286,000","-232,000",
" ","3714  ","富采            ","614,000","844,377","-230,377","0","0","0","614,000","844,377","-230,377",
" ","2727  ","王品            ","66,972","297,000","-230,028","0","0","0","66,972","297,000","-230,028",
" ","2359  ","所羅門          ","265,000","495,000","-230,000","0","0","0","265,000","495,000","-230,000",
" ","2369  ","菱生            ","321,000","551,000","-230,000","0","0","0","321,000","551,000","-230,000",
" ",="00905 ","FT臺灣Smart     ","0","225,000","-225,000","0","0","0","0","225,000","-225,000",
" ","2543  ","皇昌            ","58,000","282,000","-224,000","0","0","0","58,000","282,000","-224,000",
" ","2426  ","鼎元            ","587,000","809,000","-222,000","0","0","0","587,000","809,000","-222,000",
" ",="056081","A50正2元大46購02","0","220,000","-220,000","0","0","0","0","220,000","-220,000",
" ","2453  ","凌群            ","178,000","396,000","-218,000","0","0","0","178,000","396,000","-218,000",
" ","6235  ","華孚            ","1,338,000","1,556,000","-218,000","0","0","0","1,338,000","1,556,000","-218,000",
" ","2539  ","櫻花建          ","15,000","229,000","-214,000","0","0","0","15,000","229,000","-214,000",
" ","2630  ","亞航            ","202,000","412,000","-210,000","0","0","0","202,000","412,000","-210,000",
" ","2612  ","中航            ","79,000","287,000","-208,000","0","0","0","79,000","287,000","-208,000",
" ","6799  ","來頡            ","104,000","311,000","-207,000","0","0","0","104,000","311,000","-207,000",
" ","8926  ","台汽電          ","61,000","267,000","-206,000","0","0","0","61,000","267,000","-206,000",
" ","2504  ","國產            ","506,000","709,000","-203,000","0","0","0","506,000","709,000","-203,000",
" ","3545  ","敦泰            ","254,000","456,115","-202,115","0","0","0","254,000","456,115","-202,115",
" ","3023  ","信邦            ","125,000","322,317","-197,317","0","0","0","125,000","322,317","-197,317",
" ","2748  ","雲品            ","134,000","330,000","-196,000","0","0","0","134,000","330,000","-196,000",
" ","2634  ","漢翔            ","541,000","735,000","-194,000","0","0","0","541,000","735,000","-194,000",
" ","3305  ","昇貿            ","88,000","281,000","-193,000","0","0","0","88,000","281,000","-193,000",
" ","3447  ","展達            ","42,000","232,000","-190,000","0","0","0","42,000","232,000","-190,000",
" ","4746  ","台耀            ","163,000","353,000","-190,000","0","0","0","163,000","353,000","-190,000",
" ","3533  ","嘉澤            ","417,000","605,000","-188,000","0","0","0","417,000","605,000","-188,000",
" ",="051561","達興富邦45購03  ","74,000","261,000","-187,000","0","0","0","74,000","261,000","-187,000",
" ","6505  ","台塑化          ","766,050","953,048","-186,998","0","0","0","766,050","953,048","-186,998",
" ",="060686","聯電永豐46購01  ","58,000","244,000","-186,000","0","0","0","58,000","244,000","-186,000",
" ","1707  ","葡萄王          ","17,000","200,898","-183,898","0","0","0","17,000","200,898","-183,898",
" ","3022  ","威強電          ","179,000","361,000","-182,000","0","0","0","179,000","361,000","-182,000",
" ","6757  ","台灣虎航        ","39,000","220,249","-181,249","0","0","0","39,000","220,249","-181,249",
" ","1444  ","力麗            ","196,000","377,000","-181,000","0","0","0","196,000","377,000","-181,000",
" ","6168  ","宏齊            ","701,000","880,000","-179,000","0","0","0","701,000","880,000","-179,000",
" ","3406  ","玉晶光          ","454,000","629,000","-175,000","0","0","0","454,000","629,000","-175,000",
" ","1440  ","南紡            ","172,000","346,000","-174,000","0","0","0","172,000","346,000","-174,000",
" ","2482  ","連宇            ","157,000","331,000","-174,000","0","0","0","157,000","331,000","-174,000",
" ","2059  ","川湖            ","153,000","326,000","-173,000","0","0","0","153,000","326,000","-173,000",
" ",="052572","世芯凱基46購05  ","78,000","250,000","-172,000","0","0","0","78,000","250,000","-172,000",
" ",="00713 ","元大台灣高息低波","37,313","209,000","-171,687","0","0","0","37,313","209,000","-171,687",
" ","6515  ","穎崴            ","70,000","241,000","-171,000","0","0","0","70,000","241,000","-171,000",
" ","8464  ","億豐            ","86,140","256,504","-170,364","0","0","0","86,140","256,504","-170,364",
" ","3011  ","今皓            ","8,000","178,000","-170,000","0","0","0","8,000","178,000","-170,000",
" ",="059375","康舒元大45購01  ","121,000","290,000","-169,000","0","0","0","121,000","290,000","-169,000",
" ","6288  ","聯嘉            ","666,000","835,000","-169,000","0","0","0","666,000","835,000","-169,000",
" ","8222  ","寶一            ","251,000","419,000","-168,000","0","0","0","251,000","419,000","-168,000",
" ","1310  ","台苯            ","16,000","183,000","-167,000","0","0","0","16,000","183,000","-167,000",
" ","2236  ","百達-KY         ","73,000","239,000","-166,000","0","0","0","73,000","239,000","-166,000",
" ","6164  ","華興            ","137,000","303,000","-166,000","0","0","0","137,000","303,000","-166,000",
" ",="00915 ","凱基優選高股息30","109,150","275,000","-165,850","0","0","0","109,150","275,000","-165,850",
" ",="056323","皇昌元富48購01  ","3,000","168,000","-165,000","0","0","0","3,000","168,000","-165,000",
" ","9802  ","鈺齊-KY         ","264,000","429,000","-165,000","0","0","0","264,000","429,000","-165,000",
" ",="056078","聯茂群益46購01  ","78,000","242,000","-164,000","0","0","0","78,000","242,000","-164,000",
" ","2241  ","艾姆勒          ","44,000","206,000","-162,000","0","0","0","44,000","206,000","-162,000",
" ","3596  ","智易            ","594,000","756,000","-162,000","0","0","0","594,000","756,000","-162,000",
" ","1108  ","幸福            ","41,000","202,000","-161,000","0","0","0","41,000","202,000","-161,000",
" ","4164  ","承業醫          ","240,000","400,999","-160,999","0","0","0","240,000","400,999","-160,999",
" ","2457  ","飛宏            ","358,000","517,000","-159,000","0","0","0","358,000","517,000","-159,000",
" ",="050059","達興元大49購01  ","0","156,000","-156,000","0","0","0","0","156,000","-156,000",
" ",="051556","大亞富邦43購01  ","0","156,000","-156,000","0","0","0","0","156,000","-156,000",
" ",="058530","鴻準元大45購15  ","0","156,000","-156,000","0","0","0","0","156,000","-156,000",
" ","6442  ","光聖            ","637,000","793,000","-156,000","0","0","0","637,000","793,000","-156,000",
" ","5225  ","東科-KY         ","839,000","991,000","-152,000","0","0","0","839,000","991,000","-152,000",
" ",="058532","鴻準元大46購04  ","10,000","161,000","-151,000","0","0","0","10,000","161,000","-151,000",
" ","1809  ","中釉            ","48,000","199,000","-151,000","0","0","0","48,000","199,000","-151,000",
" ","2855  ","統一證          ","290,000","440,000","-150,000","0","0","0","290,000","440,000","-150,000",
" ","1227  ","佳格            ","55,000","204,000","-149,000","0","0","0","55,000","204,000","-149,000",
" ","2023  ","燁輝            ","367,000","516,000","-149,000","0","0","0","367,000","516,000","-149,000",
" ","2838  ","聯邦銀          ","293,000","442,000","-149,000","0","0","0","293,000","442,000","-149,000",
" ",="062096","聯發科法興34購03","0","147,000","-147,000","0","0","0","0","147,000","-147,000",
" ","1313  ","聯成            ","69,000","215,500","-146,500","0","0","0","69,000","215,500","-146,500",
" ","3708  ","上緯投控        ","108,000","253,000","-145,000","0","0","0","108,000","253,000","-145,000",
" ","6585  ","鼎基            ","139,000","283,468","-144,468","0","0","0","139,000","283,468","-144,468",
" ",="055245","材料凱基44購07  ","166,000","308,000","-142,000","0","0","0","166,000","308,000","-142,000",
" ",="046681","富華新元大43購05","15,000","156,000","-141,000","0","0","0","15,000","156,000","-141,000",
" ","2106  ","建大            ","35,000","176,000","-141,000","0","0","0","35,000","176,000","-141,000",
" ",="044675","長榮元富42購05  ","26,000","166,000","-140,000","0","0","0","26,000","166,000","-140,000",
" ","3380  ","明泰            ","733,000","870,000","-137,000","0","0","0","733,000","870,000","-137,000",
" ","3043  ","科風            ","58,000","194,000","-136,000","0","0","0","58,000","194,000","-136,000",
" ","8454  ","富邦媒          ","278,070","413,337","-135,267","0","0","0","278,070","413,337","-135,267",
" ","1789  ","神隆            ","23,000","158,000","-135,000","0","0","0","23,000","158,000","-135,000",
" ","4927  ","泰鼎-KY         ","31,000","163,000","-132,000","0","0","0","31,000","163,000","-132,000",
" ","6213  ","聯茂            ","3,119,000","3,251,000","-132,000","0","0","0","3,119,000","3,251,000","-132,000",
" ",="044000","群創元富43購01  ","30,000","160,000","-130,000","0","0","0","30,000","160,000","-130,000",
" ",="060846","中興電永豐48購01","0","128,000","-128,000","0","0","0","0","128,000","-128,000",
" ","1312  ","國喬            ","63,000","190,000","-127,000","0","0","0","63,000","190,000","-127,000",
" ","9939  ","宏全            ","163,000","289,485","-126,485","0","0","0","163,000","289,485","-126,485",
" ",="051559","藍天富邦47購01  ","3,000","128,000","-125,000","0","0","0","3,000","128,000","-125,000",
" ","2461  ","光群雷          ","13,000","138,000","-125,000","0","0","0","13,000","138,000","-125,000",
" ","6412  ","群電            ","405,000","530,000","-125,000","0","0","0","405,000","530,000","-125,000",
" ","1608  ","華榮            ","104,000","228,000","-124,000","0","0","0","104,000","228,000","-124,000",
" ","4142  ","國光生          ","38,000","161,000","-123,000","0","0","0","38,000","161,000","-123,000",
" ","5607  ","遠雄港          ","71,000","194,000","-123,000","0","0","0","71,000","194,000","-123,000",
" ","1612  ","宏泰            ","328,000","450,000","-122,000","0","0","0","328,000","450,000","-122,000",
" ",="038914","大同群益3C購09  ","10,000","130,000","-120,000","0","0","0","10,000","130,000","-120,000",
" ","2905  ","三商            ","7,000","127,000","-120,000","0","0","0","7,000","127,000","-120,000",
" ","3591  ","艾笛森          ","39,000","158,000","-119,000","0","0","0","39,000","158,000","-119,000",
" ",="060843","保瑞富邦48購04  ","0","118,000","-118,000","0","0","0","0","118,000","-118,000",
" ","6625  ","必應            ","26,000","144,000","-118,000","0","0","0","26,000","144,000","-118,000",
" ",="055238","國泰金凱基47購01","192,000","309,000","-117,000","0","0","0","192,000","309,000","-117,000",
" ","2417  ","圓剛            ","141,000","256,000","-115,000","0","0","0","141,000","256,000","-115,000",
" ",="060687","台積電永豐4C購05","0","114,000","-114,000","0","0","0","0","114,000","-114,000",
" ",="061627","金像電法興34購01","144,000","257,000","-113,000","0","0","0","144,000","257,000","-113,000",
" ","2211  ","長榮鋼          ","202,000","315,000","-113,000","0","0","0","202,000","315,000","-113,000",
" ","2349  ","錸德            ","12,000","124,000","-112,000","0","0","0","12,000","124,000","-112,000",
" ","2722  ","夏都            ","88,000","197,000","-109,000","0","0","0","88,000","197,000","-109,000",
" ",="060062","晶碩凱基46購01  ","266,000","374,000","-108,000","0","0","0","266,000","374,000","-108,000",
" ","1762  ","中化生          ","31,000","139,000","-108,000","0","0","0","31,000","139,000","-108,000",
" ","2867  ","三商壽          ","16,000","124,000","-108,000","0","0","0","16,000","124,000","-108,000",
" ",="061628","南亞科法興34購01","43,000","150,000","-107,000","0","0","0","43,000","150,000","-107,000",
" ","1471  ","首利            ","212,000","318,000","-106,000","0","0","0","212,000","318,000","-106,000",
" ","9929  ","秋雨            ","13,000","118,000","-105,000","0","0","0","13,000","118,000","-105,000",
" ","6695  ","芯鼎            ","48,000","152,000","-104,000","0","0","0","48,000","152,000","-104,000",
" ","6715  ","嘉基            ","46,000","150,000","-104,000","0","0","0","46,000","150,000","-104,000",
" ",="053521","旺宏群益44購04  ","88,000","191,000","-103,000","0","0","0","88,000","191,000","-103,000",
" ","5522  ","遠雄            ","165,053","267,000","-101,947","0","0","0","165,053","267,000","-101,947",
" ","2520  ","冠德            ","262,000","363,000","-101,000","0","0","0","262,000","363,000","-101,000",
" ",="037258","鉅祥元大41購02  ","0","100,000","-100,000","0","0","0","0","100,000","-100,000",
" ",="060066","臺股指凱基46購20","0","100,000","-100,000","0","0","0","0","100,000","-100,000",
" ",="062094","台光電法興34購01","0","100,000","-100,000","0","0","0","0","100,000","-100,000",
" ",="08277U","臺股指法興31售11","0","100,000","-100,000","0","0","0","0","100,000","-100,000",
" ",="057923","鴻準元大45購07  ","0","99,000","-99,000","0","0","0","0","99,000","-99,000",
" ","1309  ","台達化          ","50,000","148,000","-98,000","0","0","0","50,000","148,000","-98,000",
" ","1903  ","士紙            ","49,000","147,000","-98,000","0","0","0","49,000","147,000","-98,000",
" ","3094  ","聯傑            ","581,000","679,000","-98,000","0","0","0","581,000","679,000","-98,000",
" ","2845  ","遠東銀          ","773,000","870,538","-97,538","0","0","0","773,000","870,538","-97,538",
"*","2360  ","致茂            ","2,825,400","2,921,760","-96,360","0","0","0","2,825,400","2,921,760","-96,360",
" ","2020  ","美亞            ","34,000","130,000","-96,000","0","0","0","34,000","130,000","-96,000",
" ","3346  ","麗清            ","1,273,000","1,369,000","-96,000","0","0","0","1,273,000","1,369,000","-96,000",
" ","2883B ","凱基金乙特      ","0","95,049","-95,049","0","0","0","0","95,049","-95,049",
" ",="061623","大成鋼法興34購01","124,000","219,000","-95,000","0","0","0","124,000","219,000","-95,000",
" ","1324  ","地球            ","676,000","770,000","-94,000","0","0","0","676,000","770,000","-94,000",
" ","2601  ","益航            ","75,000","168,000","-93,000","0","0","0","75,000","168,000","-93,000",
" ","6806  ","森崴能源        ","202,000","295,000","-93,000","0","0","0","202,000","295,000","-93,000",
" ",="062091","台積電法興34購05","3,000","95,000","-92,000","0","0","0","3,000","95,000","-92,000",
" ","3046  ","建碁            ","45,000","136,000","-91,000","0","0","0","45,000","136,000","-91,000",
" ","4104  ","佳醫            ","31,000","121,000","-90,000","0","0","0","31,000","121,000","-90,000",
" ","1731  ","美吾華          ","2,000","91,000","-89,000","0","0","0","2,000","91,000","-89,000",
" ","1783  ","和康生          ","56,000","145,000","-89,000","0","0","0","56,000","145,000","-89,000",
" ","3356  ","奇偶            ","27,000","116,000","-89,000","0","0","0","27,000","116,000","-89,000",
" ","1616  ","億泰            ","7,000","95,000","-88,000","0","0","0","7,000","95,000","-88,000",
" ","2305  ","全友            ","133,000","221,000","-88,000","0","0","0","133,000","221,000","-88,000",
" ","3338  ","泰碩            ","159,000","247,000","-88,000","0","0","0","159,000","247,000","-88,000",
" ","8028  ","昇陽半導體      ","127,000","215,000","-88,000","0","0","0","127,000","215,000","-88,000",
" ","2206  ","三陽工業        ","1,017,000","1,104,000","-87,000","0","0","0","1,017,000","1,104,000","-87,000",
" ","3622  ","洋華            ","147,000","234,000","-87,000","0","0","0","147,000","234,000","-87,000",
" ",="048508","彩晶群益43購01  ","156,000","242,000","-86,000","0","0","0","156,000","242,000","-86,000",
" ",="060685","元金2X永豐47購01","83,000","168,000","-85,000","0","0","0","83,000","168,000","-85,000",
" ","4916  ","事欣科          ","43,000","128,000","-85,000","0","0","0","43,000","128,000","-85,000",
" ","8110  ","華東            ","84,000","169,000","-85,000","0","0","0","84,000","169,000","-85,000",
" ","2009  ","第一銅          ","50,000","133,000","-83,000","0","0","0","50,000","133,000","-83,000",
" ",="061626","台積電法興34購03","203,000","285,000","-82,000","0","0","0","203,000","285,000","-82,000",
" ","3257  ","虹冠電          ","91,000","173,000","-82,000","0","0","0","91,000","173,000","-82,000",
" ","3004  ","豐達科          ","44,000","124,000","-80,000","0","0","0","44,000","124,000","-80,000",
" ",="050494","碩天元大43購03  ","0","79,000","-79,000","0","0","0","0","79,000","-79,000",
" ","1760  ","寶齡富錦        ","87,000","166,000","-79,000","0","0","0","87,000","166,000","-79,000",
" ",="052275","晶相光元富43購01","78,000","156,000","-78,000","0","0","0","78,000","156,000","-78,000",
" ",="056083","楠梓電元大46購01","0","78,000","-78,000","0","0","0","0","78,000","-78,000",
